group,customers,mean_propensity,median_propensity,p05_propensity,p95_propensity,min_propensity,max_propensity,share_in_common_support,common_support_min,common_support_max,propensity_auc
Control: No E-Mail,21306,0.4998566692195055,0.49976788882938267,0.48639722684271575,0.5136992000759806,0.47722463473215815,0.5857616873021129,0.9998591945930724,0.4773645979940008,0.582746335961317,0.5103876297230471
Treatment: Mens E-Mail,21307,0.5001671380852989,0.5001586396723596,0.486428935269835,0.5143352291552346,0.4773645979940008,0.582746335961317,1.0,0.4773645979940008,0.582746335961317,0.5103876297230471
