model,roc_auc,average_precision,accuracy,precision,recall,f1
Logistic Regression,0.6563001928010809,0.015928019758257278,0.607767218115687,0.015722337585286267,0.6794871794871795,0.030733545955349377
Random Forest,0.5508531827359536,0.010825794774074046,0.9590519770034026,0.010830324909747292,0.038461538461538464,0.016901408450704224
